A,B,C,D,E,F,G,J,K,price
86.1,A,E,10,7564.5,6888.0,704.7900000000001,4,1417,361620
97.17,D,E,3,7281.6,7257.0,742.92,152,125,361743
98.4,C,F,5,7847.4,7257.0,717.09,69,1022,361743
99.63000000000001,D,F,3,7712.1,7134.0,728.16,26,392,361866
87.33,B,F,4,7515.3,7134.0,708.48,158,1167,361866
126.69,D,G,3,8081.1,7257.0,774.9,71,908,361866
86.1,A,F,10,7478.4,6888.0,710.94,5,784,361866
93.48,B,D,5,7576.8,7257.0,718.3199999999999,0,516,361866
124.23,D,G,3,8253.3,7257.0,771.2099999999999,127,871,361866
89.78999999999999,A,D,5,7552.2,6888.0,715.86,32,1445,361989
88.56,A,F,10,7626.0,6888.0,709.7099999999999,148,1833,361989
91.02,D,H,9,7539.9,7134.0,713.4,-15,1213,362112
70.11,D,D,22,7429.2,7011.0,662.9699999999999,-65,1534,362235
95.94,D,D,5,7675.2,7134.0,720.7800000000001,-46,1726,362235
104.55,C,G,5,7982.700000000001,6888.0,731.85,-28,261,362235
87.33,D,E,4,7785.9,7257.0,693.7199999999999,-46,422,362358
87.33,D,E,4,7712.1,7011.0,699.87,105,514,362358
88.56,A,H,22,7650.6,6888.0,703.56,2,1289,362358
94.71000000000001,A,I,5,7564.5,6888.0,725.7,100,129,362358
97.17,A,E,5,7662.9,6765.0,725.7,39,556,362358
95.94,D,H,4,7589.1,6888.0,728.16,-65,319,362481
89.78999999999999,B,D,10,7490.7,7257.0,715.86,-28,689,362481
86.1,A,H,22,7527.6,7011.0,699.87,-56,1341,362481
86.1,A,H,22,7441.5,7134.0,708.48,14,1685,362481
91.02,A,I,4,7626.0,6888.0,712.17,-45,1479,362481
91.02,A,I,4,7515.3,7011.0,717.09,52,514,362481
89.78999999999999,A,D,5,7527.6,7011.0,712.17,135,1095,362481
100.86,C,H,10,7675.2,6642.0,734.31,139,380,362481
110.7,B,I,5,7490.7,6888.0,769.98,-74,327,362481
89.78999999999999,A,G,4,7589.1,6765.0,713.4,30,1125,362604
86.1,A,E,5,7626.0,6888.0,698.64,76,1552,362604
110.7,B,I,3,7687.5,7134.0,756.45,33,829,362604
110.7,D,I,3,8167.200000000001,7380.0,728.16,29,479,362604
110.7,B,I,3,7453.8,7380.0,772.44,124,1050,362604
110.7,A,I,3,7626.0,6888.0,762.6,53,1002,362604
88.56,D,E,10,7749.0,6888.0,696.1800000000001,66,1590,362727
93.48,A,E,5,7589.1,7011.0,718.3199999999999,-49,817,362727
94.71000000000001,A,D,5,7699.8,7011.0,714.63,-3,1300,362727
88.56,A,H,4,7662.9,6765.0,703.56,46,991,362727
121.77,D,J,5,7134.0,8241.0,808.11,-40,1181,362727
87.33,B,D,10,7638.3,7380.0,703.56,96,867,362850
88.56,D,D,4,7712.1,7134.0,694.95,19,489,362973
99.63000000000001,A,H,5,7662.9,7134.0,731.85,81,663,362973
89.78999999999999,A,F,5,7576.8,6765.0,709.7099999999999,13,750,362973
86.1,D,E,10,7675.2,7134.0,696.1800000000001,1,593,363096
86.1,D,E,10,7798.2,7257.0,692.49,136,608,363096
86.1,D,E,10,7601.4,7257.0,692.49,-76,1166,363096
86.1,D,E,4,7539.9,7380.0,698.64,-22,1536,363096
88.56,A,G,10,7564.5,6765.0,708.48,141,1379,363096
88.56,A,G,10,7552.2,6765.0,708.48,155,1505,363096
86.1,A,E,10,7613.7,7134.0,701.1,102,255,363096
86.1,A,E,10,7699.8,7011.0,692.49,20,202,363096
86.1,A,E,10,7638.3,6765.0,702.33,-45,945,363096
91.02,A,I,19,7638.3,6629.7,712.17,-2,754,363096
86.1,C,E,4,7503.0,7503.0,699.87,84,739,363096
92.25,C,F,4,7921.200000000001,7257.0,697.41,83,1293,363219
87.33,D,E,10,7330.8,7380.0,713.4,89,442,363342
88.56,A,D,5,7613.7,6765.0,707.25,-85,1805,363342
88.56,B,E,10,7515.3,7257.0,707.25,101,1484,363342
88.56,B,D,5,7552.2,7257.0,702.33,18,1481,363342
92.25,A,D,5,7662.9,7011.0,713.4,-89,778,363342
100.86,D,D,5,7761.3,7134.0,734.31,66,1331,363342
109.47,B,I,4,7650.6,7626.0,755.2199999999999,-62,1278,363465
86.1,D,F,10,7675.2,7011.0,697.41,-19,1005,363588
91.02,D,H,4,7552.2,6888.0,714.63,35,115,363588
91.02,D,H,4,7662.9,6888.0,707.25,-29,1057,363588
116.85,C,I,3,7847.4,7011.0,753.99,-3,118,363588
86.1,A,F,10,7478.4,7011.0,707.25,154,1856,363588
87.33,C,F,9,7158.6,7380.0,724.4699999999999,148,1167,363588
86.1,B,D,4,7429.2,7134.0,710.94,8,1521,363588
88.56,A,F,10,7699.8,6888.0,707.25,123,1416,363588
88.56,A,F,10,7650.6,6888.0,707.25,-35,1183,363588
88.56,A,H,22,7626.0,6765.0,706.02,-32,826,363834
97.17,A,I,4,7650.6,7011.0,724.4699999999999,53,442,363834
88.56,C,G,4,7134.0,7109.4,719.55,77,1220,363834
86.1,D,F,4,7392.3,7134.0,704.7900000000001,5,1437,363957
97.17,B,G,10,7662.9,7134.0,728.16,98,1351,363957
100.86,A,I,5,7601.4,6765.0,738.0,125,1706,363957
91.02,D,G,9,8019.6,7134.0,701.1,-22,1657,363957
87.33,D,H,9,7601.4,6888.0,701.1,-86,1741,364080
86.1,A,D,10,7539.9,7011.0,703.56,128,1003,364080
93.48,A,F,10,7699.8,6888.0,715.86,47,134,364080
78.72,A,G,19,7589.1,7134.0,678.9599999999999,57,1179,364080
87.33,C,F,9,7244.7,7503.0,713.4,-37,913,364080
91.02,A,G,4,7601.4,6765.0,719.55,26,1780,364080
94.71000000000001,D,H,4,7724.4,7134.0,707.25,141,1627,364203
91.02,A,H,9,7527.6,7011.0,712.17,-56,81,364203
88.56,B,E,4,7564.5,7380.0,712.17,-75,261,364203
89.78999999999999,B,F,4,7712.1,6888.0,707.25,120,652,364203
77.49,A,F,9,7662.9,6888.0,674.0400000000001,160,1432,364203
88.56,A,H,4,7515.3,7011.0,713.4,-7,109,364203
93.48,A,E,5,7453.8,7011.0,726.9300000000001,-15,1423,364203
87.33,B,F,4,7638.3,6519.0,709.7099999999999,82,1485,364203
92.25,B,H,4,7613.7,7503.0,719.55,-15,1099,364203
77.49,A,D,9,7699.8,6888.0,672.81,-32,1079,364326
88.56,A,E,10,7626.0,6888.0,704.7900000000001,97,1317,364326
87.33,A,G,4,7650.6,6888.0,699.87,-86,725,364326
100.86,B,F,5,7675.2,6888.0,739.23,53,1329,364326
87.33,A,E,4,7638.3,6519.0,708.48,-72,318,364449
111.93,D,E,3,7207.8,7749.0,784.74,-1,426,364449
87.33,D,E,10,7736.7,7011.0,698.64,-24,164,364572
87.33,D,E,5,7736.7,6765.0,693.7199999999999,43,327,364572
87.33,D,D,5,7306.2,7257.0,710.94,-23,511,364572
86.1,C,E,4,7822.8,7134.0,690.0300000000001,-50,1049,364572
86.1,D,E,4,7933.5,7011.0,687.5699999999999,-75,1812,364572
92.25,A,E,5,7589.1,6888.0,718.3199999999999,-72,251,364572
110.7,D,F,3,8081.1,7257.0,741.69,113,1383,364572
110.7,B,J,4,7638.3,7626.0,752.76,-39,211,364572
123.0,D,G,5,8081.1,6642.0,767.52,-40,778,364572
184.5,D,H,41,8068.799999999999,6642.0,892.98,83,868,364572
129.15,B,E,41,7552.2,7134.0,803.19,95,469,364572
110.7,D,J,4,7945.799999999999,7134.0,752.76,83,735,364572
87.33,A,I,4,7601.4,6888.0,698.64,-17,1655,364695
87.33,A,I,4,7576.8,6888.0,702.33,110,1705,364695
87.33,A,I,4,7539.9,7011.0,704.7900000000001,112,287,364695
86.1,A,G,5,7589.1,6765.0,701.1,17,604,364695
86.1,A,G,5,7490.7,6888.0,704.7900000000001,-59,1797,364695
89.78999999999999,D,G,10,7638.3,7257.0,698.64,9,1051,364818
86.1,A,I,22,7601.4,6888.0,699.87,127,1142,364818
92.25,A,F,5,7527.6,6765.0,722.01,-16,388,364818
100.86,A,F,3,7490.7,7011.0,745.38,-88,1610,364818
86.1,D,E,4,7539.9,6888.0,698.64,10,496,364941
86.1,D,E,4,7564.5,6888.0,699.87,106,637,364941
105.78,D,G,3,7699.8,6888.0,739.23,52,471,364941
97.17,A,H,10,7626.0,6888.0,726.9300000000001,136,937,364941
38.13,B,E,3,7478.4,7503.0,544.89,154,786,68634
38.13,A,G,3,7552.2,6765.0,539.9699999999999,-31,83,68634
36.9,D,H,9,7626.0,6888.0,526.44,9,1033,68757
38.13,D,G,10,7490.7,7011.0,537.51,78,504,68757
29.52,A,G,22,7675.2,6888.0,488.31,149,1577,68757
29.52,A,G,22,7638.3,6888.0,488.31,147,472,68757
29.52,A,G,22,7650.6,6888.0,492.0,50,1649,68757
29.52,A,G,22,7626.0,6765.0,493.22999999999996,57,466,68757
29.52,A,G,22,7626.0,6888.0,488.31,-59,192,68757
39.36,A,E,5,7613.7,6765.0,541.2,43,1819,68757
29.52,A,G,19,7478.4,7134.0,493.22999999999996,-26,328,68757
29.52,A,G,19,7601.4,6765.0,490.77000000000004,27,113,68757
29.52,A,G,19,7576.8,7011.0,490.77000000000004,142,1364,68757
29.52,A,G,19,7539.9,7011.0,492.0,75,72,68757
39.36,A,G,4,7601.4,6765.0,543.66,-31,1658,68757
30.75,D,E,9,7626.0,6888.0,498.15,92,1634,68880
30.75,D,E,22,7564.5,6888.0,499.37999999999994,34,102,68880
30.75,D,F,19,7564.5,6888.0,496.92,-2,482,68880
33.21,D,F,19,7429.2,7134.0,514.14,-13,242,68880
39.36,A,G,10,7576.8,6642.0,541.2,133,600,68880
44.28,A,F,5,7576.8,6888.0,562.11,9,949,68880
50.43,A,I,5,7589.1,6765.0,586.7099999999999,-9,505,69003
39.36,B,H,4,7404.6,7134.0,544.89,9,1696,69003
39.36,A,H,4,7564.5,7011.0,541.2,-28,521,69003
92.25,D,E,5,7404.6,7380.0,724.4699999999999,85,1123,365064
113.16000000000001,B,H,5,7281.6,7380.0,787.2,116,1701,365064
110.7,A,G,3,7675.2,7011.0,757.6800000000001,-71,1521,365064
98.4,A,G,10,7527.6,7011.0,740.4599999999999,-49,1568,365187
63.96,B,E,9,7392.3,7134.0,643.2900000000001,126,122,365310
88.56,D,G,4,7453.8,6888.0,718.3199999999999,141,185,365310
86.1,C,F,4,7847.4,7134.0,686.34,117,1577,365310
95.94,B,E,10,7699.8,7011.0,726.9300000000001,141,1529,365310
127.92,C,I,3,7367.7,7872.0,800.73,61,1567,365310
99.63000000000001,D,E,5,7847.4,7134.0,719.55,55,384,365556
93.48,A,G,4,7306.2,7011.0,736.77,-6,83,365556
86.1,A,G,4,7589.1,6888.0,693.7199999999999,73,978,365556
110.7,D,H,3,7761.3,7380.0,755.2199999999999,55,1684,365556
110.7,D,J,3,7785.9,7257.0,747.84,-77,436,365679
92.25,A,G,4,7662.9,7011.0,717.09,-65,875,365679
86.1,A,E,4,7441.5,6888.0,706.02,120,882,365679
99.63000000000001,D,E,5,7318.5,7380.0,744.15,88,1798,365679
86.1,C,E,4,7355.4,7626.0,706.02,108,1235,365679
100.86,A,F,5,7699.8,7011.0,733.08,36,551,365802
110.7,C,H,5,7896.6,7380.0,744.15,-64,1015,365802
123.0,D,D,3,8523.9,7134.0,733.08,90,500,365802
87.33,A,G,10,7318.5,7011.0,714.63,63,1327,365802
86.1,D,F,4,7638.3,7011.0,699.87,5,194,365925
86.1,B,F,9,7650.6,7134.0,703.56,12,1201,365925
100.86,D,E,3,7785.9,6888.0,736.77,127,1401,365925
98.4,A,F,5,7724.4,6642.0,725.7,80,142,365925
102.08999999999999,B,G,5,7576.8,7257.0,740.4599999999999,-53,1098,365925
102.08999999999999,A,H,10,7539.9,6642.0,750.3,56,121,365925
94.71000000000001,B,E,5,7429.2,7134.0,738.0,-77,713,365925
88.56,A,E,5,7503.0,6888.0,715.86,137,168,366048
111.93,A,I,3,7749.0,6642.0,758.91,8,1142,366048
87.33,D,G,9,7478.4,7134.0,707.25,-90,1639,366171
99.63000000000001,A,F,5,7613.7,7011.0,735.5400000000001,72,1694,366171
93.48,B,D,10,7490.7,7134.0,725.7,-61,77,366171
66.42,A,F,22,7576.8,6765.0,649.44,42,315,366171
87.33,A,G,9,7687.5,7134.0,701.1,-26,731,366294
98.4,A,E,3,7503.0,6765.0,738.0,-50,877,366294
93.48,A,E,3,7638.3,6888.0,719.55,124,1789,366294
86.1,A,E,10,7589.1,6888.0,706.02,62,1393,366417
86.1,A,E,10,7564.5,7011.0,697.41,50,1084,366540
86.1,A,E,10,7650.6,6765.0,697.41,14,1841,366663
111.93,A,I,3,7576.8,7011.0,767.52,-64,673,366663
110.7,C,E,3,7220.1,7749.0,762.6,33,1751,366786
87.33,D,G,4,7478.4,7749.0,708.48,-18,1833,366786
91.02,A,E,10,7712.1,6642.0,713.4,158,1043,367032
110.7,D,J,10,7761.3,7011.0,752.76,52,1523,367032
123.0,B,G,41,7687.5,7626.0,789.66,27,1544,367032
86.1,D,D,10,7761.3,6888.0,691.26,112,1009,367155
92.25,A,E,5,7650.6,7011.0,715.86,148,179,367155
100.86,B,H,4,7662.9,7380.0,734.31,20,609,367155
94.71000000000001,D,G,4,7724.4,7134.0,710.94,-83,1030,367278
98.4,A,I,4,7613.7,6654.3,728.16,-30,1806,367278
100.86,A,I,4,7576.8,7011.0,738.0,-49,286,367278
103.32,A,G,3,7626.0,6888.0,740.4599999999999,20,573,367278
86.1,A,G,4,7539.9,7257.0,698.64,-74,1820,367401
94.71000000000001,B,E,5,7589.1,7134.0,720.7800000000001,-48,944,367524
126.69,D,G,41,7773.6,7134.0,792.12,41,1764,367524
93.48,A,I,19,7576.8,6765.0,728.16,-67,1276,367524
88.56,A,F,10,7638.3,6642.0,708.48,49,1278,367647
102.08999999999999,B,D,5,7539.9,7134.0,741.69,99,548,367770
93.48,D,G,10,7638.3,6642.0,723.24,129,83,367770
88.56,D,E,10,7736.7,7011.0,698.64,-71,1041,367770
92.25,A,G,10,7453.8,6765.0,726.9300000000001,-20,1489,367893
86.1,A,D,10,7416.9,7380.0,702.33,-13,863,367893
86.1,D,E,10,7724.4,6888.0,696.1800000000001,-31,897,368016
92.25,A,H,9,7626.0,6777.3,717.09,39,208,368016
130.38,D,J,3,7503.0,8118.0,804.42,21,498,368016
84.86999999999999,D,F,9,7564.5,7380.0,693.7199999999999,144,1508,368139
107.01,D,H,3,7503.0,6888.0,756.45,101,229,368139
92.25,D,E,5,7822.8,6888.0,704.7900000000001,29,1493,368139
86.1,A,G,9,7749.0,6765.0,694.95,154,522,368139
92.25,A,E,5,7515.3,7011.0,717.09,-20,643,368139
88.56,A,D,5,7515.3,7257.0,708.48,61,1719,368139
124.23,D,G,5,8007.299999999999,7011.0,771.2099999999999,27,1110,368139
87.33,D,F,10,7330.8,6888.0,718.3199999999999,-31,1588,368262
87.33,D,G,4,7293.9,6765.0,723.24,-79,540,368262
99.63000000000001,D,G,10,7761.3,7134.0,723.24,-89,365,368262
152.52,B,J,41,7613.7,6765.0,851.16,70,84,368262
99.63000000000001,B,G,10,7626.0,7134.0,731.85,-83,601,368262
99.63000000000001,B,D,3,7589.1,7134.0,734.31,-46,342,368262
89.78999999999999,A,D,5,7552.2,6888.0,710.94,83,1515,368385
86.1,A,G,4,7490.7,6888.0,708.48,65,740,368385
111.93,D,F,3,8031.9,6273.0,744.15,137,1280,368508
108.24,D,I,4,7785.9,6765.0,751.5300000000001,-1,438,368508
94.71000000000001,A,D,5,7552.2,6888.0,725.7,30,1297,368508
91.02,A,I,10,7613.7,6765.0,713.4,-88,371,368631
88.56,A,H,5,7515.3,6888.0,710.94,-15,526,368631
86.1,A,D,10,7724.4,7011.0,699.87,31,412,368754
88.56,A,H,4,7552.2,6888.0,712.17,-38,1058,368754
124.23,D,J,9,8118.0,6888.0,773.67,63,1850,368754
104.55,D,G,4,7097.1,8241.0,769.98,102,679,368754
86.1,D,D,10,7343.1,7257.0,715.86,47,490,368877
89.78999999999999,D,G,4,7675.2,7146.3,702.33,155,1517,368877
125.46000000000001,D,H,41,7564.5,7380.0,787.2,-90,800,368877
86.1,B,G,9,7453.8,7380.0,709.7099999999999,157,1265,368877
91.02,B,E,4,7712.1,7134.0,717.09,150,1840,368877
91.02,B,E,4,7490.7,7626.0,717.09,50,1460,368877
94.71000000000001,A,E,5,7687.5,6888.0,722.01,25,100,369000
114.39,C,J,10,7822.8,7503.0,757.6800000000001,18,1473,369000
110.7,B,I,3,7453.8,7380.0,766.2900000000001,-30,1633,369123
110.7,D,I,3,7687.5,7134.0,750.3,-59,160,369123
110.7,A,I,3,7626.0,6888.0,757.6800000000001,133,1542,369123
88.56,D,D,5,7564.5,7134.0,706.02,143,87,369123
86.1,B,D,4,7576.8,7503.0,696.1800000000001,74,1823,369123
86.1,C,D,4,7822.8,7380.0,690.0300000000001,76,1803,369123
86.1,D,D,4,7798.2,7257.0,686.34,107,1592,369123
73.8,A,G,22,7638.3,6888.0,666.66,50,1387,369123
92.25,D,H,9,7453.8,7011.0,720.7800000000001,58,225,369246
94.71000000000001,D,E,3,7429.2,7134.0,726.9300000000001,8,854,369246
87.33,B,D,10,7638.3,7380.0,698.64,7,1219,369246
109.47,C,H,3,7785.9,7257.0,742.92,63,227,369246
88.56,C,F,4,7847.4,7134.0,698.64,-30,1695,369246
88.56,A,G,9,7576.8,6765.0,710.94,144,1394,369246
98.4,B,G,10,7453.8,7257.0,740.4599999999999,-17,1825,369246
89.78999999999999,D,F,4,7207.8,8118.0,728.16,-53,185,369246
124.23,D,D,3,7945.799999999999,6888.0,776.13,-41,1500,369369
99.63000000000001,A,F,5,7601.4,6765.0,742.92,101,637,369492
95.94,A,G,5,7453.8,7011.0,731.85,136,230,369492
88.56,A,F,5,7662.9,6888.0,709.7099999999999,-58,421,369492
113.16000000000001,B,D,3,7404.6,7503.0,777.36,28,432,369492
92.25,D,E,5,7515.3,7257.0,719.55,-49,730,369615
67.65,A,F,22,7527.6,6642.0,651.9,-65,213,369615
98.4,D,H,5,7749.0,7011.0,724.4699999999999,-12,101,369615
89.78999999999999,A,H,22,7576.8,7011.0,714.63,122,546,369615
111.93,D,I,3,7798.2,7134.0,747.84,-12,897,369738
87.33,D,E,4,7773.6,7380.0,692.49,-77,121,369738
67.65,B,D,22,7416.9,7257.0,656.8199999999999,78,1400,369738
87.33,A,I,9,7466.1,7011.0,708.48,-5,1593,369861
87.33,A,I,9,7429.2,7011.0,710.94,50,136,369861
86.1,B,E,9,7712.1,6519.0,694.95,-85,604,369861
87.33,A,G,5,7539.9,6765.0,704.7900000000001,98,439,369861
87.33,A,G,5,7576.8,6765.0,703.56,99,1260,369861
87.33,A,G,5,7613.7,6888.0,704.7900000000001,51,209,369861
87.33,A,G,5,7576.8,7011.0,704.7900000000001,-38,747,369861
93.48,A,D,5,7527.6,7011.0,723.24,-46,453,369861
111.93,D,F,5,7761.3,7380.0,753.99,-60,1715,369861
86.1,D,D,4,7429.2,7134.0,702.33,-43,109,369984
86.1,A,F,10,7539.9,7011.0,701.1,32,469,369984
100.86,B,H,4,7687.5,7257.0,733.08,112,1588,369984
87.33,D,E,4,7835.1,7134.0,692.49,24,1299,370107
87.33,D,E,4,7638.3,7011.0,697.41,-13,1731,370107
87.33,D,E,4,7798.2,7134.0,693.7199999999999,-43,1313,370107
102.08999999999999,A,F,5,7638.3,7011.0,738.0,11,646,370230
102.08999999999999,D,F,5,7638.3,7134.0,735.5400000000001,120,1294,370230
98.4,A,D,5,7650.6,7011.0,724.4699999999999,-49,1009,370353
89.78999999999999,D,G,4,7466.1,6765.0,722.01,-31,797,370353
123.0,D,G,41,7687.5,7626.0,789.66,117,835,370353
147.6,D,J,41,7982.700000000001,7257.0,813.0300000000001,-20,566,370353
147.6,D,I,41,7650.6,8118.0,832.7099999999999,-27,1686,370353
86.1,A,F,10,7613.7,6765.0,701.1,-45,564,370353
86.1,A,F,10,7712.1,6765.0,696.1800000000001,62,574,370353
86.1,A,F,10,7552.2,7134.0,701.1,-48,459,370353
94.71000000000001,A,D,3,7662.9,6765.0,725.7,-60,1285,370353
92.25,A,H,5,7613.7,6765.0,715.86,-31,1427,370353
95.94,D,G,10,7539.9,7380.0,724.4699999999999,123,1209,370476
100.86,A,E,3,7650.6,7011.0,738.0,-37,1357,370476
88.56,A,G,10,7589.1,6888.0,706.02,38,1799,370476
88.56,A,E,5,7503.0,7011.0,709.7099999999999,-11,758,370476
88.56,A,E,5,7416.9,6765.0,719.55,113,1724,370476
98.4,D,F,5,7859.7,6888.0,718.3199999999999,134,1636,370599
92.25,B,F,10,7576.8,7134.0,718.3199999999999,74,482,370599
87.33,D,F,4,7638.3,6519.0,701.1,9,1019,370599
87.33,A,F,4,7515.3,7011.0,708.48,39,1069,370599
99.63000000000001,A,E,3,7601.4,6888.0,738.0,144,816,370599
99.63000000000001,A,E,3,7392.3,7011.0,746.61,138,1370,370599
110.7,B,D,5,7650.6,7380.0,747.84,95,716,370599
95.94,A,E,5,7712.1,6765.0,725.7,30,1387,370722
87.33,A,H,22,7601.4,6888.0,701.1,13,376,370722
89.78999999999999,D,D,5,7478.4,7257.0,713.4,118,148,370722
124.23,B,G,41,7515.3,7503.0,798.27,125,1171,370722
110.7,C,G,3,7835.1,7626.0,746.61,-12,1581,370722
103.32,D,G,3,7724.4,7011.0,738.0,-72,1655,370845
111.93,D,E,3,7207.8,7749.0,777.36,-71,1238,370845
95.94,A,H,9,7589.1,6765.0,725.7,-54,131,370845
99.63000000000001,A,E,3,7503.0,6888.0,736.77,29,197,370845
88.56,D,D,10,7638.3,7257.0,701.1,104,415,370968
86.1,B,E,4,7601.4,7134.0,702.33,-9,155,370968
86.1,A,E,4,7712.1,7011.0,694.95,-11,1658,370968
93.48,A,H,10,7613.7,6765.0,719.55,44,282,370968
118.08,B,E,3,7724.4,7380.0,774.9,-90,1718,370968
137.76000000000002,B,G,41,7416.9,7380.0,830.25,-1,189,371091
86.1,A,G,4,7515.3,6888.0,703.56,-22,78,371091
61.5,C,D,9,7675.2,7872.0,618.69,-49,1244,371091
137.76000000000002,D,G,41,7527.6,7749.0,821.64,5,1368,371091
86.1,C,F,22,7773.6,7134.0,686.34,62,345,371214
126.69,D,G,41,7478.4,7011.0,800.73,102,1852,371214
86.1,B,F,9,7687.5,7257.0,698.64,74,1798,371214
87.33,A,F,9,7699.8,6888.0,701.1,-10,698,371214
88.56,A,H,10,7527.6,7011.0,712.17,-57,1207,371214
86.1,C,E,4,7404.6,7503.0,702.33,-79,544,371214
125.46000000000001,D,F,3,7785.9,6888.0,784.74,5,308,371214
94.71000000000001,B,F,10,7675.2,7257.0,719.55,-33,1406,371214
86.1,B,F,9,7650.6,6888.0,703.56,-13,1724,371214
114.39,B,G,3,7552.2,6888.0,771.2099999999999,-16,271,371337
95.94,B,D,5,7429.2,7011.0,740.4599999999999,-38,77,371337
87.33,A,D,10,7429.2,6519.0,714.63,148,293,371460
89.78999999999999,D,F,5,7539.9,6888.0,710.94,-13,1718,371829
79.95,A,E,9,7638.3,7011.0,682.65,131,751,371829
104.55,A,G,5,7576.8,6765.0,749.0699999999999,107,488,371829
110.7,C,H,3,7761.3,7380.0,749.0699999999999,-22,1795,371952
92.25,B,E,10,7638.3,7011.0,725.7,106,397,371952
110.7,D,J,10,7761.3,7257.0,749.0699999999999,-79,593,371952
110.7,C,J,10,7859.7,7134.0,756.45,7,454,371952
88.56,B,E,10,7429.2,7503.0,712.17,105,317,371952
92.25,C,D,5,7822.8,7134.0,709.7099999999999,133,269,371952
92.25,B,E,5,7589.1,7380.0,718.3199999999999,92,105,371952
88.56,D,G,4,7392.3,7749.0,720.7800000000001,132,1569,371952
92.25,B,D,5,7281.6,7134.0,733.08,0,277,371952
79.95,D,D,9,7097.1,7380.0,699.87,94,1663,372075
86.1,D,G,10,7601.4,6765.0,699.87,43,313,372198
72.57,A,E,9,7601.4,7011.0,658.05,31,1307,372198
102.08999999999999,A,H,10,7539.9,6642.0,745.38,-25,1348,372321
125.46000000000001,D,J,5,8216.4,6765.0,768.75,-90,1768,372321
123.0,D,G,3,7982.700000000001,7011.0,773.67,54,484,372321
125.46000000000001,B,G,3,7589.1,7134.0,794.58,105,269,372321
94.71000000000001,C,H,9,7121.7,7503.0,746.61,-50,616,372321
86.1,D,F,9,7195.5,7380.0,715.86,-21,1831,372444
98.4,A,H,10,7638.3,6642.0,733.08,25,1043,372690
91.02,A,H,4,7576.8,6765.0,712.17,46,453,372690
88.56,B,G,4,7244.7,7134.0,729.39,-24,1840,372936
124.23,C,E,41,7847.4,7011.0,787.2,-50,1748,372936
124.23,D,H,3,7810.5,6765.0,777.36,22,810,372936
67.65,A,F,22,7527.6,6642.0,658.05,-15,1243,372936
89.78999999999999,A,G,4,7576.8,7011.0,708.48,93,1428,373059
93.48,A,E,5,7687.5,7011.0,713.4,90,466,373059
63.96,A,E,19,7515.3,7011.0,635.91,-86,1858,373059
86.1,C,D,10,7884.299999999999,7257.0,683.88,108,948,373059
86.1,D,D,10,7773.6,7380.0,690.0300000000001,126,530,373059
86.1,C,D,10,7859.7,7134.0,691.26,81,1485,373059
111.93,B,H,5,7749.0,7011.0,761.37,37,510,373059
111.93,A,I,3,7576.8,7011.0,766.2900000000001,133,523,373182
111.93,C,I,3,7404.6,7257.0,767.52,-37,1589,373182
86.1,A,G,4,7552.2,7011.0,701.1,112,172,373182
88.56,D,E,10,7847.4,7011.0,696.1800000000001,50,658,373305
87.33,A,E,10,7318.5,7011.0,717.09,23,218,373305
95.94,A,D,5,7675.2,7011.0,722.01,-63,1134,373305
87.33,A,D,5,7453.8,7011.0,715.86,140,516,373305
98.4,D,H,9,7736.7,6888.0,725.7,159,109,373428
91.02,B,D,5,7675.2,7257.0,704.7900000000001,-24,861,373428
75.03,A,D,9,7675.2,7134.0,661.74,42,1797,373428
95.94,A,F,5,7503.0,6765.0,738.0,81,962,373428
86.1,D,G,22,7785.9,7011.0,687.5699999999999,135,570,373551
39.36,C,E,5,7785.9,6888.0,533.8199999999999,-29,440,69003
39.36,B,G,10,7441.5,7134.0,542.4300000000001,-6,1052,69003
49.2,C,H,3,7835.1,7257.0,570.7199999999999,52,708,69003
39.36,A,G,10,7552.2,6888.0,537.51,-24,1434,69003
39.36,B,G,10,7355.4,7257.0,551.0400000000001,-15,1145,69003
39.36,B,I,9,7466.1,7257.0,541.2,-57,112,69003
39.36,C,H,4,7761.3,7011.0,533.8199999999999,-39,1107,69003
39.36,A,G,10,7552.2,6765.0,541.2,-34,1716,69003
39.36,A,G,10,7355.4,7011.0,544.89,121,1163,69003
39.36,A,G,10,7589.1,7011.0,538.74,62,907,69003
39.36,B,H,4,7662.9,7134.0,533.8199999999999,-60,118,69003
39.36,D,H,4,7749.0,7011.0,531.36,-21,375,69003
39.36,B,G,10,7613.7,7134.0,536.2800000000001,-58,676,69003
39.36,C,G,10,7761.3,7011.0,528.9,125,79,69003
39.36,D,H,4,7749.0,7011.0,537.51,-68,855,69003
39.36,A,G,10,7601.4,7011.0,537.51,12,301,69003
39.36,D,H,4,7589.1,7134.0,537.51,-32,209,69003
39.36,B,H,4,7589.1,7134.0,538.74,9,1092,69003
39.36,D,E,5,7392.3,7380.0,543.66,-53,1583,69003
39.36,B,G,10,7589.1,7380.0,531.36,43,1703,69003
39.36,C,E,5,7798.2,6765.0,535.05,28,167,69003
39.36,D,G,10,7699.8,7134.0,537.51,-40,290,69003
39.36,A,G,10,7576.8,7011.0,539.9699999999999,159,1789,69003
39.36,A,H,4,7613.7,6765.0,541.2,60,776,69003
39.36,A,H,4,7404.6,6888.0,546.12,36,658,69003
88.56,A,E,5,7650.6,7134.0,703.56,106,1198,373551
93.48,A,H,10,7552.2,7011.0,719.55,-28,309,373674
