area,rooms,floor,elev,parking,type,price
43,1,7,0,1,1,505000
220,10,12,0,1,3,4066000
124,5,8,1,0,3,3308000
258,12,12,0,1,1,2740000
102,4,9,1,0,3,3134000
145,6,6,0,0,3,3171000
163,7,8,0,1,3,3513000
79,3,9,0,1,2,1511000
98,4,2,0,2,2,1921000
203,9,12,1,0,2,2947000
145,6,10,1,0,2,2376000
188,8,8,0,0,1,1821000
100,4,5,0,1,1,1187000
155,7,7,0,1,3,3409000
198,9,7,0,1,3,3883000
146,6,4,0,2,2,2256000
156,7,12,0,1,1,1728000
237,11,3,1,2,3,4547000
188,8,12,1,2,2,2892000
213,10,10,0,0,3,4036000
173,8,5,1,2,3,4034000
148,6,7,1,1,2,2408000
200,9,11,0,0,2,2645000
165,7,7,0,1,3,3486000
218,10,7,1,1,1,2492000
136,6,6,1,2,3,3723000
186,8,10,1,2,2,2823000
65,2,5,1,0,2,1476000
170,8,6,1,1,3,3985000
153,7,4,1,0,3,3663000
235,11,6,0,1,2,3082000
200,9,6,1,2,2,3090000
206,9,9,1,2,2,3069000
163,7,8,0,1,3,3660000
96,4,10,1,2,3,3322000
63,2,8,0,1,2,1309000
74,3,10,0,2,1,1019000
239,11,7,0,0,3,4192000
204,9,8,1,0,2,2947000
158,7,10,1,1,3,3746000
257,12,3,0,0,2,3264000
96,4,6,1,1,1,1424000
248,11,10,0,0,1,2421000
215,10,6,1,0,1,2448000
129,5,3,1,0,2,2072000
155,7,11,1,0,3,3701000
128,5,6,1,0,2,2063000
247,11,8,1,0,3,4450000
115,5,11,1,0,3,3250000
80,3,7,0,0,2,1408000
72,3,8,0,2,2,1504000
79,3,9,0,0,3,2675000
199,9,2,0,2,2,3027000
121,5,12,1,0,3,3245000
124,5,2,0,2,1,1588000
120,5,9,1,1,2,2100000
120,5,4,1,2,1,1573000
111,5,8,0,2,2,2022000
153,7,3,0,1,1,1812000
82,3,1,1,1,1,1182000
142,6,1,0,0,2,2093000
49,1,12,1,0,1,711000
115,5,1,0,0,2,1907000
259,12,9,1,1,1,3033000
74,3,10,0,0,1,872000
91,4,4,1,2,1,1355000
126,5,3,0,0,3,3111000
180,8,12,0,0,2,2442000
136,6,1,0,2,2,2332000
89,3,9,1,1,2,1836000
221,10,6,0,1,3,4126000
220,10,4,0,2,2,3028000
106,4,12,1,1,3,3271000
66,2,3,0,2,3,2841000
45,1,9,0,2,3,2418000
230,11,9,1,2,2,3387000
203,9,7,1,1,3,4216000
211,10,4,1,1,1,2515000
126,5,4,1,1,1,1586000
114,5,10,1,2,2,2353000
138,6,8,0,1,3,3293000
160,7,10,1,1,3,3815000
218,10,9,1,2,1,2609000
47,1,6,0,0,2,1057000
190,9,5,1,2,1,2412000
205,9,9,0,0,2,2627000
161,7,6,1,2,3,3819000
131,6,12,0,2,1,1686000
49,1,12,0,2,1,741000
58,2,8,1,1,1,902000
86,3,7,0,0,2,1381000
129,5,1,0,2,2,2260000
70,3,7,0,2,3,2741000
152,7,12,0,2,2,2349000
230,11,9,0,2,1,2611000
227,10,1,0,0,3,4162000
54,2,11,0,1,3,2589000
214,10,3,1,2,1,2535000
75,3,3,1,2,1,1203000
236,11,1,0,1,3,4396000
194,9,12,0,2,3,3994000
179,8,9,1,0,2,2701000
120,5,2,1,0,3,3340000
64,2,5,0,0,3,2435000
151,7,10,0,1,2,2273000
148,6,5,0,0,1,1534000
158,7,12,0,2,1,1832000
49,1,10,0,2,3,2402000
226,10,2,1,1,2,3134000
47,1,8,1,1,3,2640000
197,9,2,1,1,3,4051000
222,10,3,1,0,3,4314000
118,5,10,1,2,3,3506000
146,6,7,1,1,2,2374000
98,4,12,0,2,3,3001000
201,9,5,1,1,2,2927000
218,10,11,1,0,1,2450000
186,8,8,0,0,2,2431000
185,8,6,1,2,2,2853000
149,6,2,0,1,2,2252000
82,3,4,1,0,2,1632000
55,2,7,1,2,1,1054000
94,4,11,1,0,2,1878000
156,7,3,1,1,2,2533000
56,2,4,0,0,1,686000
68,2,9,0,0,2,1289000
233,11,12,0,2,1,2638000
251,12,12,1,1,1,2895000
231,11,9,1,2,3,4586000
240,11,7,0,0,3,4169000
101,4,6,1,1,3,3118000
89,3,3,1,1,2,1752000
211,10,7,1,1,3,4380000
237,11,4,0,1,2,3141000
250,12,6,0,1,2,3336000
178,8,4,0,1,3,3619000
226,10,2,1,0,3,4197000
227,10,1,0,2,1,2646000
119,5,3,1,0,2,2068000
80,3,6,1,2,1,1244000
86,3,10,1,1,3,2987000
196,9,10,0,0,1,2031000
243,11,5,0,0,1,2447000
194,9,2,1,2,3,4175000
206,9,1,1,2,2,3107000
158,7,9,1,1,2,2580000
134,6,7,0,0,3,3177000
134,6,3,0,1,2,2139000
186,8,12,0,1,3,3783000
56,2,12,0,2,3,2544000
47,1,10,1,0,1,695000
232,11,11,0,2,3,4408000
82,3,9,1,2,3,3106000
219,10,3,0,2,1,2525000
128,5,7,0,0,1,1202000
156,7,3,1,0,2,2382000
47,1,6,1,0,2,1354000
236,11,9,1,2,1,2822000
181,8,2,1,0,2,2603000
216,10,3,1,0,1,2314000
132,6,12,0,0,2,2080000
74,3,11,1,2,1,1262000
141,6,5,0,0,1,1323000
150,7,6,0,2,1,1763000
176,8,6,1,0,2,2654000
255,12,8,1,0,1,2809000
125,5,4,1,2,3,3509000
188,8,8,1,2,1,2265000
63,2,7,1,1,2,1525000
165,7,1,0,0,2,2389000
257,12,11,0,2,3,4761000
55,2,1,1,2,1,1049000
260,12,12,1,2,1,3167000
82,3,3,1,0,3,2851000
259,12,7,1,0,1,2888000
108,4,5,0,2,2,1849000
138,6,4,1,2,1,1884000
104,4,9,1,0,3,3132000
116,5,7,1,2,2,2238000
104,4,9,1,0,1,1328000
189,8,2,1,2,3,4064000
54,2,9,0,1,2,1297000
170,8,4,1,1,1,2118000
79,3,10,0,1,2,1606000
143,6,2,0,0,2,2187000
145,6,4,0,2,1,1605000
229,10,10,1,1,3,4451000
77,3,6,1,2,2,1802000
246,11,8,0,1,3,4440000
137,6,7,1,0,1,1602000
125,5,3,0,1,2,2050000
239,11,7,1,1,3,4535000
158,7,6,1,2,1,2036000
139,6,9,1,2,1,1836000
83,3,2,0,2,2,1846000
199,9,2,0,0,1,2164000
219,10,11,1,1,2,3190000
171,8,10,1,0,2,2713000
238,11,3,0,2,2,3281000
180,8,2,0,1,1,2118000
244,11,11,0,2,1,2672000
112,5,1,1,2,2,2243000
79,3,1,0,1,2,1590000
146,6,7,0,2,2,2223000
69,2,7,0,0,3,2432000
217,10,7,1,0,2,3087000
93,4,12,1,2,1,1430000
192,9,7,0,1,1,2089000
174,8,7,1,1,2,2804000
241,11,7,0,0,2,3038000
255,12,12,0,2,2,3402000
196,9,8,0,1,2,2737000
143,6,5,0,0,2,2014000
119,5,4,1,2,2,2222000
51,2,3,1,1,2,1548000
156,7,6,0,2,1,1758000
177,8,11,0,2,2,2646000
236,11,2,1,1,1,2836000
110,5,4,1,0,2,1997000
198,9,12,1,0,3,4084000
156,7,6,0,2,1,1665000
169,7,3,1,0,1,1941000
76,3,9,1,2,3,3112000
177,8,10,0,1,3,3626000
192,9,1,1,2,2,2936000
227,10,3,1,0,2,3093000
236,11,12,0,0,3,4147000
171,8,7,0,1,2,2431000
150,7,11,0,1,2,2322000
58,2,11,1,0,2,1496000
161,7,8,0,0,1,1614000
53,2,10,0,0,2,1249000
103,4,2,1,0,3,3103000
200,9,1,0,0,2,2673000
208,9,3,1,0,1,2277000
64,2,7,0,0,1,644000
178,8,11,1,1,3,3923000
157,7,1,1,2,3,3717000
167,7,4,1,1,2,2673000
224,10,12,0,1,2,2957000
87,3,1,0,0,3,2720000
184,8,11,1,1,2,2803000
77,3,9,0,0,3,2573000
255,12,9,0,2,1,2909000
113,5,5,0,1,2,1884000
51,2,2,1,1,1,853000
95,4,7,1,1,1,1354000
122,5,9,0,1,1,1312000
124,5,1,0,0,3,3146000
142,6,7,1,2,1,1881000
146,6,3,0,0,2,2213000
159,7,5,0,1,2,2340000
224,10,11,0,0,2,2882000
70,3,7,1,0,1,1079000
61,2,4,1,1,1,1048000
228,10,9,1,1,2,3243000
252,12,4,0,2,3,4640000
244,11,8,1,2,3,4736000
89,3,11,1,0,1,1187000
102,4,10,1,1,1,1457000
152,7,5,1,1,3,3747000
142,6,11,0,1,1,1503000
113,5,5,1,2,1,1604000
71,3,5,1,1,1,1066000
104,4,5,0,2,2,1750000
251,12,10,0,1,1,2754000
114,5,7,1,0,3,3203000
200,9,11,1,0,3,4085000
109,4,6,1,1,1,1417000
143,6,4,0,2,3,3436000
155,7,2,0,2,1,1899000
218,10,11,1,1,2,3284000
198,9,12,1,2,1,2439000
138,6,9,1,2,3,3707000
73,3,8,1,1,2,1754000
71,3,1,1,0,3,2771000
103,4,6,0,0,2,1695000
199,9,2,1,0,2,2875000
113,5,9,0,0,1,1261000
206,9,6,0,2,2,2900000
54,2,2,1,0,2,1442000
191,9,8,0,1,3,3830000
126,5,8,1,2,3,3557000
196,9,4,1,1,1,2269000
259,12,2,0,1,3,4709000
40,1,4,0,2,1,604000
142,6,12,1,1,1,1866000
256,12,2,0,0,2,3305000
231,11,7,0,2,2,3284000
146,6,11,1,2,1,1961000
252,12,8,0,1,1,2699000
79,3,8,0,1,2,1546000
230,11,5,1,0,1,2559000
140,6,4,1,0,1,1639000
164,7,5,1,2,1,2122000
248,11,4,1,1,2,3435000
227,10,3,1,0,3,4285000
72,3,2,1,2,3,2887000
41,1,11,0,1,1,495000
240,11,6,1,0,2,3316000
193,9,2,1,0,3,4009000
259,12,2,1,2,3,4862000
104,4,4,0,0,1,1001000
229,10,1,1,1,1,2647000
185,8,9,1,1,3,3977000
101,4,11,0,1,1,1189000
99,4,10,1,1,1,1376000
114,5,5,0,2,3,3171000
99,4,12,0,0,2,1564000
176,8,4,0,0,3,3589000
62,2,3,0,1,2,1478000
80,3,10,0,0,3,2630000
259,12,3,0,1,1,2889000
134,6,12,1,0,1,1624000
41,1,4,0,0,1,403000
258,12,11,1,1,2,3597000
125,5,6,1,1,1,1600000
138,6,2,1,2,3,3640000
250,12,2,0,0,1,2714000
186,8,9,0,1,3,3834000
153,7,8,1,2,3,3866000
153,7,5,0,2,1,1749000
81,3,1,1,2,2,1737000
133,6,5,0,0,1,1431000
188,8,2,1,2,1,2395000
119,5,5,0,0,1,1180000
162,7,6,0,1,1,1745000
221,10,9,0,0,2,2912000
51,2,5,1,1,3,2663000
186,8,12,1,1,3,4051000
254,12,5,0,1,3,4456000
257,12,10,1,2,2,3685000
147,6,7,1,2,2,2481000
180,8,11,0,1,3,3630000
40,1,9,0,0,1,440000
72,3,10,0,2,1,982000
248,11,10,0,0,2,3068000
179,8,3,1,0,3,3895000
191,9,5,0,0,3,3769000
198,9,10,1,1,3,4168000
158,7,5,0,1,3,3421000
111,5,12,1,1,1,1500000
195,9,8,0,0,2,2616000
88,3,1,1,1,3,2982000
202,9,11,0,2,1,2281000
140,6,5,1,1,1,1768000
76,3,10,0,1,2,1499000
106,4,5,0,1,1,1173000
225,10,6,1,0,3,4243000
231,11,4,1,1,1,2731000
91,4,9,1,1,2,1896000
103,4,7,1,1,3,3178000
235,11,12,0,2,3,4451000
135,6,2,1,1,1,1733000
143,6,8,0,2,1,1661000
151,7,3,1,1,2,2463000
206,9,1,1,2,1,2438000
45,1,11,0,1,3,2326000
204,9,5,0,0,1,2009000
99,4,12,1,1,2,2014000
96,4,8,0,1,2,1682000
202,9,6,1,1,2,2982000
237,11,12,0,0,3,4219000
205,9,1,1,2,3,4281000
97,4,8,0,2,1,1151000
105,4,6,1,2,3,3193000
253,12,11,1,0,2,3488000
158,7,7,0,0,1,1564000
259,12,4,0,0,1,2600000
215,10,11,0,0,3,4080000
48,1,2,0,0,1,618000
93,4,3,0,0,2,1737000
215,10,7,0,2,2,2897000
139,6,10,1,1,3,3657000
192,9,4,1,0,1,2194000
143,6,10,0,2,3,3507000
239,11,2,0,2,3,4502000
66,2,8,0,1,1,828000
54,2,6,1,2,3,2909000
251,12,7,0,2,2,3319000
178,8,1,0,0,3,3657000
162,7,7,0,1,3,3442000
68,2,11,0,2,1,895000
203,9,2,0,2,1,2367000
237,11,8,0,1,3,4217000
247,11,3,0,1,2,3301000
164,7,4,0,0,2,2180000
166,7,1,0,0,1,1744000
86,3,9,1,1,2,1886000
128,5,2,0,1,2,2010000
201,9,11,0,2,1,2148000
127,5,6,1,1,2,2209000
129,5,1,0,1,3,3289000
52,2,4,1,2,1,1046000
191,9,4,0,1,2,2777000
199,9,9,0,0,2,2603000
138,6,12,0,0,1,1432000
252,12,5,1,2,3,4856000
149,6,2,1,1,1,1855000
112,5,1,1,1,1,1514000
112,5,7,1,2,2,2131000
90,4,4,1,2,2,2107000
207,9,3,1,1,2,2961000
53,2,10,1,0,3,2658000
166,7,10,0,0,2,2184000
255,12,6,1,2,2,3735000
135,6,3,1,2,3,3686000
206,9,11,1,1,2,2962000
91,4,8,1,0,1,1318000
172,8,7,1,0,3,3794000
91,4,10,0,1,1,1082000
245,11,1,1,1,2,3316000
170,8,11,1,1,1,2188000
222,10,5,0,1,2,2945000
139,6,3,1,1,1,1717000
94,4,3,0,0,1,1048000
233,11,4,0,2,1,2602000
69,2,1,0,2,3,2876000
186,8,6,0,0,3,3662000
154,7,11,0,2,1,1808000
97,4,9,1,0,2,1902000
170,8,5,0,0,1,1727000
85,3,11,1,0,3,2908000
98,4,9,1,1,1,1358000
64,2,5,1,1,1,922000
40,1,5,1,2,3,2732000
77,3,10,0,1,2,1515000
72,3,4,0,0,2,1385000
185,8,3,0,1,3,3911000
210,10,6,1,2,2,3268000
161,7,10,0,2,1,1812000
203,9,7,0,1,3,3901000
236,11,8,0,2,1,2648000
216,10,5,1,1,2,3099000
108,4,3,1,0,1,1331000
144,6,2,1,1,1,1762000
227,10,12,1,2,2,3290000
142,6,12,1,1,2,2395000
182,8,9,1,0,3,3903000
151,7,8,1,1,3,3747000
180,8,1,0,0,3,3730000
255,12,7,1,1,1,2971000
226,10,2,0,1,2,3032000
119,5,8,1,0,3,3267000
199,9,9,1,1,2,2995000
211,10,9,1,0,1,2479000
103,4,12,1,0,3,3094000
192,9,12,1,1,2,2936000
127,5,8,0,0,1,1285000
68,2,4,0,2,1,911000
196,9,4,1,2,3,4166000
145,6,11,0,0,3,3270000
174,8,9,1,1,1,2070000
137,6,5,0,2,3,3331000
139,6,9,0,1,2,2089000
229,10,5,0,2,1,2432000
257,12,4,1,0,1,2807000
248,11,8,0,2,2,3346000
157,7,9,0,0,1,1599000
65,2,6,1,1,3,2798000
70,3,6,1,2,3,3043000
66,2,11,1,2,1,1132000
80,3,12,1,1,3,2951000
147,6,1,1,2,3,3683000
233,11,2,0,2,3,4543000
218,10,5,0,1,1,2301000
109,4,8,0,1,3,2904000
254,12,12,1,1,1,2919000
74,3,11,1,2,1,1255000
179,8,9,1,2,1,2264000
78,3,5,1,1,1,1149000
174,8,8,0,0,2,2283000
46,1,4,1,2,3,2659000
227,10,10,0,0,2,2853000
76,3,7,0,1,2,1547000
80,3,12,0,2,2,1694000
244,11,11,1,2,3,4745000
190,9,11,0,0,1,2007000
220,10,5,0,1,1,2321000
148,6,12,1,1,1,1869000
146,6,11,0,1,2,2163000
212,10,6,0,0,3,4023000
249,11,7,0,2,3,4473000
186,8,9,0,0,3,3656000
144,6,3,0,0,2,2186000
236,11,4,1,1,2,3406000
120,5,12,1,2,2,2217000
83,3,1,0,2,2,1721000
86,3,8,1,2,2,1951000
179,8,7,0,1,2,2477000
242,11,12,0,0,1,2515000
191,9,9,1,1,1,2398000
237,11,11,1,1,1,2701000
84,3,4,1,1,3,2986000
145,6,3,1,2,3,3726000
101,4,2,0,1,3,3080000
90,4,10,1,0,1,1234000
84,3,1,0,1,3,2793000
151,7,4,1,1,1,1910000
56,2,6,0,2,1,843000
96,4,4,0,0,1,911000
72,3,9,1,0,1,1120000
109,4,11,0,2,2,1896000
248,11,1,0,0,3,4331000
125,5,9,1,2,3,3492000
202,9,2,1,0,1,2338000
156,7,12,0,0,2,2257000
42,1,6,1,1,1,739000
85,3,8,1,2,1,1276000
100,4,5,0,0,1,1050000
175,8,9,1,0,3,3844000
100,4,5,0,2,3,2907000
52,2,2,1,0,3,2633000
124,5,12,1,0,2,2113000
247,11,12,1,0,3,4573000
162,7,12,0,2,3,3733000
178,8,4,0,0,1,1755000
89,3,2,1,1,3,2969000
214,10,11,0,2,3,4321000
255,12,12,1,0,2,3501000
171,8,4,0,1,1,1836000
240,11,1,1,0,2,3213000
121,5,8,0,0,1,1346000
195,9,10,1,1,3,4172000
95,4,3,0,1,2,1793000
171,8,5,0,1,3,3641000
160,7,10,1,2,2,2644000
47,1,10,0,2,1,766000
218,10,2,1,2,2,3175000
126,5,1,1,1,1,1618000
62,2,9,0,1,1,615000
225,10,12,1,1,3,4477000
181,8,9,1,1,1,2221000
67,2,4,0,2,3,2688000
143,6,8,1,0,3,3514000
236,11,11,1,2,3,4673000
78,3,2,0,0,1,992000
140,6,4,1,1,1,1717000
91,4,3,1,0,3,2977000
197,9,3,0,1,1,2235000
242,11,9,0,2,2,3290000
100,4,6,1,0,1,1204000
53,2,2,1,1,3,2754000
44,1,9,1,1,1,829000
90,4,12,0,2,1,1153000
86,3,4,0,1,3,2674000
87,3,3,0,2,3,3032000
90,4,9,1,0,1,1246000
57,2,1,1,1,3,2718000
188,8,11,1,0,1,2098000
87,3,9,0,2,2,1633000
175,8,4,0,2,1,1923000
95,4,2,1,1,1,1323000
183,8,12,1,1,2,2799000
260,12,5,1,2,3,4887000
93,4,10,0,0,2,1612000
249,11,11,1,2,1,2983000
260,12,2,1,1,1,3021000
177,8,9,1,0,3,3758000
132,6,5,1,2,3,3628000
118,5,1,1,0,2,1987000
241,11,8,0,0,2,2946000
106,4,6,0,2,2,1792000
227,10,3,0,1,2,3167000
214,10,3,1,1,1,2551000
216,10,9,1,0,1,2410000
197,9,3,0,1,3,3959000
181,8,5,0,2,2,2618000
199,9,7,1,2,3,4282000
97,4,2,0,2,2,2022000
139,6,10,1,1,3,3558000
123,5,6,1,1,1,1602000
243,11,1,1,2,3,4586000
132,6,2,1,0,2,2181000
245,11,7,1,2,2,3449000
197,9,4,0,0,3,3870000
155,7,10,1,2,3,3743000
77,3,9,1,1,1,1165000
78,3,8,1,2,1,1376000
54,2,10,1,1,2,1581000
42,1,10,1,0,3,2457000
235,11,7,1,1,3,4555000
203,9,7,0,0,2,2546000
137,6,10,1,0,1,1737000
49,1,11,0,0,3,2305000
229,10,8,0,0,1,2258000
248,11,3,0,1,2,3359000
199,9,8,1,2,3,4203000
91,4,9,1,0,1,1254000
251,12,7,0,0,2,3210000
68,2,6,1,1,1,955000
224,10,5,1,1,2,3134000
70,3,7,1,0,3,2930000
100,4,11,1,0,3,3086000
94,4,4,0,2,1,1164000
40,1,2,0,1,3,2440000
173,8,7,1,0,1,1985000
259,12,8,0,0,3,4369000
152,7,4,0,0,1,1610000
59,2,6,1,0,3,2700000
106,4,8,1,1,3,3207000
81,3,5,1,0,1,991000
103,4,1,0,2,2,1988000
205,9,11,1,1,1,2342000
169,7,5,1,2,2,2723000
87,3,11,0,2,1,1077000
96,4,12,1,1,2,2058000
52,2,1,0,1,1,760000
156,7,11,1,0,1,1838000
149,6,8,0,0,1,1413000
71,3,1,1,0,3,2811000
86,3,5,0,1,3,2787000
90,4,3,1,0,3,3102000
224,10,6,0,2,1,2460000
96,4,5,1,2,3,3303000
186,8,10,0,2,3,3892000
222,10,8,1,0,2,3032000
98,4,9,0,1,3,2978000
158,7,6,0,2,1,1928000
166,7,4,0,2,2,2469000
114,5,1,1,0,1,1399000
248,11,7,0,1,2,3047000
45,1,1,1,2,1,846000
237,11,1,1,0,2,3225000
175,8,9,0,0,1,1712000
121,5,5,1,1,3,3321000
76,3,11,1,2,2,1964000
250,12,12,0,2,2,3387000
164,7,3,1,0,2,2463000
257,12,8,1,1,2,3604000
121,5,12,1,0,1,1590000
189,8,8,0,0,3,3683000
237,11,1,1,1,3,4437000
124,5,6,1,1,1,1516000
82,3,2,1,0,2,1689000
43,1,1,0,1,3,2406000
133,6,7,1,2,2,2506000
201,9,12,0,1,2,2801000
259,12,5,0,1,1,2757000
170,8,10,0,2,1,1999000
142,6,4,0,0,3,3183000
218,10,10,0,1,1,2272000
156,7,8,1,0,2,2433000
117,5,6,0,1,3,3052000
79,3,5,0,0,3,2554000
70,3,9,1,1,2,1663000
156,7,4,1,1,3,3704000
148,6,2,1,1,3,3564000
195,9,7,0,0,3,3736000
49,1,10,1,2,3,2678000
164,7,11,1,0,3,3619000
60,2,6,1,2,2,1644000
140,6,1,0,0,1,1567000
215,10,11,0,2,2,2967000
221,10,8,1,2,1,2620000
202,9,11,1,1,1,2320000
145,6,12,1,2,1,1963000
200,9,3,1,0,2,2933000
103,4,1,1,0,3,3120000
123,5,8,0,1,3,3102000
214,10,5,1,1,3,4331000
105,4,9,0,0,2,1601000
219,10,1,1,2,1,2562000
220,10,7,0,1,1,2274000
60,2,12,0,1,3,2465000
225,10,7,1,1,1,2579000
58,2,8,0,1,2,1328000
227,10,5,1,1,3,4415000
68,2,2,1,0,3,2617000
193,9,1,1,1,1,2287000
193,9,2,0,1,1,2133000
144,6,11,1,0,1,1644000
219,10,8,1,2,1,2788000
222,10,11,0,0,2,2910000
250,12,6,0,2,2,3360000
62,2,11,0,0,3,2476000
254,12,10,1,2,2,3654000
189,8,11,0,2,3,3974000
84,3,1,0,1,1,1056000
103,4,9,0,1,3,2911000
179,8,11,1,2,2,2892000
140,6,8,0,0,1,1409000
207,9,12,1,1,2,3023000
254,12,12,0,2,1,2757000
50,2,2,1,1,1,922000
228,10,2,1,1,2,3210000
226,10,9,0,1,1,2347000
78,3,2,1,1,2,1857000
183,8,8,1,2,3,4084000
119,5,8,0,1,1,1236000
218,10,12,1,2,2,3210000
89,3,12,1,1,2,1882000
72,3,1,0,1,3,2908000
259,12,4,1,0,2,3474000
206,9,1,0,2,1,2412000
91,4,10,0,1,2,1627000
113,5,7,0,0,1,1123000
159,7,12,0,2,2,2322000
260,12,1,0,0,1,2759000
166,7,4,0,1,1,1613000
67,2,1,0,2,3,2828000
118,5,5,0,0,1,1256000
213,10,1,1,0,1,2415000
173,8,1,0,1,3,3917000
106,4,3,0,1,2,1804000
65,2,1,1,0,3,2646000
246,11,1,0,2,3,4486000
146,6,4,1,0,1,1730000
219,10,12,0,0,3,4099000
192,9,1,0,0,2,2763000
58,2,11,1,1,3,2871000
42,1,11,0,2,3,2449000
196,9,3,1,1,1,2295000
146,6,9,1,0,1,1701000
251,12,10,0,2,2,3399000
46,1,7,0,0,2,991000
82,3,3,0,0,1,882000
249,11,12,1,2,1,2844000
85,3,5,1,2,3,3072000
76,3,3,1,1,2,1801000
93,4,3,1,1,3,3207000
213,10,7,1,0,3,4223000
223,10,7,1,0,3,4330000
241,11,12,0,2,2,3073000
250,12,8,0,1,3,4514000
184,8,5,0,1,2,2583000
128,5,6,0,1,3,3097000
47,1,8,1,1,1,815000
43,1,9,1,0,2,1230000
245,11,1,0,1,1,2673000
112,5,1,0,0,3,3118000
226,10,8,0,1,2,2925000
112,5,1,1,0,1,1308000
63,2,5,1,1,1,933000
72,3,8,1,0,1,1110000
107,4,5,0,1,2,1799000
251,12,8,0,1,2,3242000
240,11,11,1,0,3,4579000
106,4,12,0,2,1,1274000
137,6,12,1,1,3,3618000
148,6,7,0,1,2,2208000
183,8,9,1,0,3,3864000
68,2,10,1,1,2,1629000
214,10,10,0,0,1,2265000
169,7,1,1,1,2,2590000
159,7,11,1,1,2,2700000
69,2,11,1,2,3,2913000
251,12,10,1,1,3,4771000
134,6,5,0,1,1,1463000
259,12,1,1,2,3,4868000
123,5,10,0,1,3,3089000
194,9,6,1,0,2,2723000
171,8,6,0,2,1,1936000
157,7,6,0,2,1,1920000
60,2,9,0,2,3,2630000
77,3,7,1,0,2,1687000
205,9,8,1,0,3,4085000
206,9,5,0,2,2,2842000
199,9,5,1,2,2,3034000
73,3,2,0,2,2,1787000
73,3,10,0,1,2,1483000
119,5,11,1,0,2,2000000
204,9,12,0,0,3,3797000
132,6,8,1,1,3,3476000
89,3,8,1,2,1,1317000
173,8,9,0,2,3,3816000
255,12,1,1,1,2,3534000
123,5,9,0,2,2,1977000
172,8,11,0,2,2,2657000
249,11,3,0,1,1,2606000
65,2,2,1,0,3,2629000
173,8,12,0,2,1,2113000
224,10,4,1,2,2,3368000
126,5,7,0,0,3,3004000
249,11,9,1,0,1,2699000
145,6,12,0,1,2,2164000
106,4,1,1,2,1,1382000
52,2,8,0,2,1,754000
221,10,3,1,0,1,2463000
166,7,5,1,1,3,3720000
133,6,4,1,0,2,2259000
152,7,5,1,2,2,2541000
179,8,4,0,2,1,1998000
132,6,7,1,2,2,2368000
169,7,5,1,0,1,1887000
58,2,12,1,0,2,1427000
162,7,5,0,1,2,2288000
168,7,4,0,0,2,2313000
60,2,6,0,2,3,2568000
186,8,8,0,2,1,2090000
76,3,4,0,2,2,1607000
180,8,10,0,2,2,2617000
206,9,10,0,1,1,2110000
260,12,11,1,0,1,2957000
215,10,6,1,1,2,3232000
214,10,6,0,1,3,4211000
149,6,6,0,2,2,2224000
99,4,12,1,2,1,1434000
181,8,7,0,2,2,2748000
182,8,1,0,1,3,3893000
221,10,4,0,2,1,2496000
121,5,6,1,2,1,1665000
250,12,4,0,0,2,3091000
193,9,2,0,0,3,3954000
130,6,1,1,1,2,2291000
251,12,3,0,1,2,3388000
221,10,7,1,1,3,4393000
152,7,10,1,2,1,2067000
54,2,12,0,2,1,826000
135,6,9,1,2,2,2336000
138,6,11,1,1,1,1786000
115,5,7,0,1,1,1357000
121,5,7,1,0,3,3210000
97,4,1,0,1,1,1223000
254,12,5,1,1,1,2894000
143,6,6,1,1,3,3547000
67,2,8,0,2,3,2637000
178,8,7,0,1,1,1882000
175,8,6,0,1,1,2000000
195,9,4,1,2,1,2493000
161,7,12,1,2,2,2739000
125,5,5,0,0,2,1901000
66,2,8,1,2,3,2897000
154,7,2,1,0,3,3640000
120,5,7,1,2,3,3467000
246,11,7,1,0,3,4552000
112,5,8,1,2,2,2240000
161,7,11,0,0,3,3579000
63,2,9,0,2,1,831000
154,7,9,0,0,2,2299000
114,5,2,1,2,2,2153000
175,8,6,1,0,1,2063000
179,8,11,0,0,2,2423000
249,11,6,1,0,2,3326000
194,9,4,0,2,3,3975000
157,7,2,1,2,1,1931000
153,7,7,0,1,2,2272000
113,5,8,1,0,2,2111000
160,7,8,1,1,1,1996000
189,8,9,0,2,2,2692000
194,9,6,1,2,3,4183000
50,2,10,1,1,2,1455000
188,8,6,1,2,3,4062000
202,9,1,1,1,2,2974000
194,9,7,1,1,2,3059000
109,4,6,1,2,2,2062000
169,7,6,1,2,2,2597000
207,9,9,0,1,1,2178000
130,6,8,1,2,2,2463000
208,9,2,1,1,1,2441000
241,11,12,1,1,1,2835000
176,8,11,0,1,3,3774000
259,12,8,0,0,3,4485000
234,11,2,1,2,3,4524000
229,10,3,1,1,1,2621000
152,7,6,0,2,3,3634000
91,4,3,0,0,2,1780000
191,9,2,0,2,1,2255000
143,6,12,0,0,2,1997000
230,11,5,0,0,3,4228000
253,12,4,0,2,2,3298000
136,6,4,0,0,3,3198000
131,6,10,1,2,2,2447000
136,6,7,1,2,3,3594000
250,12,7,1,2,1,2938000
160,7,1,1,0,1,1847000
248,11,7,1,2,3,4634000
119,5,9,0,1,1,1293000
214,10,11,0,2,3,4084000
243,11,11,1,2,1,2896000
215,10,4,0,1,3,4028000
176,8,6,0,1,1,1881000
241,11,4,1,2,3,4728000
241,11,12,0,0,1,2513000
190,9,4,1,2,1,2354000
103,4,4,0,2,3,3043000
